st_id,user_id,category_id,settled_at,final_hourly_rate
st_1,user_1,IT,2023-06-20,10309
st_2,user_1,바리스타,2023-07-04,11014
st_3,user_1,서빙,2023-07-24,10797
st_4,user_1,행정,2023-08-06,19027
st_5,user_1,서빙,2023-08-27,22138
st_6,user_2,IT,2023-08-08,20397
st_7,user_3,물류,2023-02-16,15161
st_8,user_3,재고관리,2023-03-11,9947
st_9,user_3,강사보조,2023-04-09,12588
st_10,user_3,바리스타,2023-05-16,20583
st_11,user_3,자료입력,2023-06-21,18698
st_12,user_3,배달,2023-08-07,10315
st_13,user_3,재고관리,2023-08-22,17744
st_14,user_3,편의점,2023-11-18,22138
st_15,user_3,서빙,2023-11-05,10944
st_16,user_3,바리스타,2023-11-06,9706
st_17,user_4,강사보조,2023-09-16,20967
st_18,user_4,편의점,2023-10-14,12699
st_19,user_4,물류,2023-10-13,10656
st_20,user_4,학원,2023-10-03,20658
st_21,user_4,재고관리,2023-10-04,14408
st_22,user_4,판매,2023-10-10,14820
st_23,user_4,베이커리,2023-11-09,16644
st_24,user_4,행정,2023-11-17,20250
st_25,user_5,행정,2023-02-06,11230
st_26,user_5,주방보조,2023-02-13,9744
st_27,user_5,물류,2023-03-26,13221
st_28,user_5,강사보조,2023-04-15,13846
st_29,user_5,개발보조,2023-05-06,22803
st_30,user_6,개발보조,2023-09-29,24007
st_31,user_6,재고관리,2023-10-23,12228
st_32,user_6,물류,2023-10-18,18168
st_33,user_6,주방보조,2023-10-15,13774
st_34,user_6,자료입력,2023-09-29,23843
st_35,user_6,주방보조,2023-11-17,13052
st_36,user_6,학원,2023-11-18,9960
st_37,user_6,서빙,2023-10-30,14715
st_38,user_7,식당,2023-07-08,17243
st_39,user_7,테스트,2023-09-24,16156
st_40,user_7,물류,2023-10-12,12480
st_41,user_7,판매,2023-09-28,14457
st_42,user_7,식당,2023-10-15,18760
st_43,user_8,IT,2022-12-21,21035
st_44,user_8,강사보조,2023-01-04,13175
st_45,user_8,재고관리,2023-01-24,14962
st_46,user_8,편의점,2023-11-06,21132
st_47,user_8,바리스타,2023-11-09,13673
st_48,user_9,베이커리,2023-10-05,14541
st_49,user_9,카페,2023-09-29,24052
st_50,user_9,사무보조,2023-10-11,18342
st_51,user_9,개발보조,2023-10-23,16526
st_52,user_9,재고관리,2023-10-03,13749
st_53,user_9,개발보조,2023-10-04,19887
st_54,user_9,학원,2023-10-22,16176
st_55,user_10,IT,2023-10-18,24156
st_56,user_10,주방보조,2023-11-04,21060
st_57,user_10,문서작성,2023-11-03,18589
st_58,user_10,물류,2023-10-27,12704
st_59,user_11,학원,2023-03-20,9092
st_60,user_11,바리스타,2023-05-04,14749
st_61,user_11,자료입력,2023-07-03,18993
st_62,user_11,물류,2023-09-04,10829
st_63,user_11,개발보조,2023-09-05,20808
st_64,user_11,서빙,2023-10-02,23709
st_65,user_11,자료입력,2023-11-17,17574
st_66,user_12,편의점,2023-03-08,24250
st_67,user_12,바리스타,2023-03-30,9290
st_68,user_13,학원,2023-10-17,22991
st_69,user_13,베이커리,2023-10-11,12350
st_70,user_13,물류,2023-10-22,20889
st_71,user_13,자료입력,2023-10-04,19127
st_72,user_14,서빙,2023-05-06,16930
st_73,user_14,개발보조,2023-05-10,22534
st_74,user_14,바리스타,2023-06-05,8839
st_75,user_14,사무보조,2023-06-24,16860
st_76,user_14,주방보조,2023-07-02,14348
st_77,user_15,테스트,2023-09-11,22808
st_78,user_15,카페,2023-10-02,15403
st_79,user_15,식당,2023-09-30,11103
st_80,user_16,서빙,2023-10-22,21827
st_81,user_16,개발보조,2023-10-12,10457
st_82,user_17,식당,2023-05-20,11742
st_83,user_17,학원,2023-06-07,15752
st_84,user_18,서빙,2023-09-08,12939
st_85,user_18,재고관리,2023-10-13,18384
st_86,user_18,주방보조,2023-10-05,14007
st_87,user_18,식당,2023-10-13,21619
st_88,user_18,사무보조,2023-10-14,14033
st_89,user_19,판매,2023-06-21,12356
st_90,user_19,IT,2023-08-31,23915
st_91,user_19,서빙,2023-10-24,18670
st_92,user_19,재고관리,2023-10-01,14203
st_93,user_19,배달,2023-09-30,19156
st_94,user_20,테스트,2023-03-30,23916
st_95,user_20,사무보조,2023-04-10,9305
st_96,user_20,바리스타,2023-05-04,21155
st_97,user_20,자료입력,2023-06-05,13566
st_98,user_20,재고관리,2023-06-20,23374
st_99,user_20,판매,2023-07-13,13715
st_100,user_20,서빙,2023-07-29,22715
st_101,user_21,주방보조,2023-10-12,19537
st_102,user_21,학원,2023-10-22,20580
st_103,user_22,개발보조,2023-10-18,23336
st_104,user_22,재고관리,2023-10-06,17618
st_105,user_22,IT,2023-10-21,16956
st_106,user_22,배달,2023-10-13,9268
st_107,user_23,물류,2023-09-19,17696
st_108,user_23,편의점,2023-10-15,14904
st_109,user_23,테스트,2023-10-16,12917
st_110,user_23,주방보조,2023-09-29,15769
st_111,user_23,베이커리,2023-10-19,18752
st_112,user_23,학원,2023-10-05,15971
st_113,user_24,IT,2023-08-19,14702
st_114,user_24,강사보조,2023-10-02,17828
