log_id,user_id,ab_group,is_applied,sent_at
log_1,user_1,A,1,2023-10-26
log_2,user_1,A,1,2023-11-02
log_3,user_2,A,0,2023-10-26
log_4,user_3,A,0,2023-10-26
log_5,user_4,B,1,2023-10-26
log_6,user_4,B,1,2023-11-20
log_7,user_5,A,0,2023-10-26
log_8,user_6,B,0,2023-10-26
log_9,user_7,B,0,2023-10-26
log_10,user_8,A,0,2023-10-26
log_11,user_9,Control,0,2023-10-26
log_12,user_10,A,0,2023-10-26
log_13,user_11,A,0,2023-10-26
log_14,user_11,A,1,2023-11-21
log_15,user_12,Control,0,2023-10-26
log_16,user_13,A,0,2023-10-26
log_17,user_13,A,1,2023-11-23
log_18,user_14,B,0,2023-10-26
log_19,user_14,B,1,2023-11-21
log_20,user_15,B,0,2023-10-26
log_21,user_16,B,0,2023-10-26
log_22,user_16,B,1,2023-11-03
log_23,user_16,B,1,2023-11-18
log_24,user_17,A,0,2023-10-26
log_25,user_17,A,1,2023-11-22
log_26,user_18,B,0,2023-10-26
log_27,user_19,B,0,2023-10-26
log_28,user_19,B,1,2023-11-17
log_29,user_20,B,0,2023-10-26
log_30,user_20,B,1,2023-11-01
log_31,user_21,Control,0,2023-10-26
log_32,user_21,Control,1,2023-11-21
log_33,user_22,A,0,2023-10-26
log_34,user_23,Control,0,2023-10-26
log_35,user_24,A,0,2023-10-26
log_36,user_24,A,1,2023-11-21
log_37,user_25,Control,0,2023-10-26
log_38,user_26,Control,0,2023-10-26
log_39,user_27,B,0,2023-10-26
log_40,user_28,B,0,2023-10-26
log_41,user_29,B,0,2023-10-26
log_42,user_29,B,1,2023-11-22
log_43,user_30,A,0,2023-10-26
log_44,user_31,B,0,2023-10-26
log_45,user_32,A,0,2023-10-26
log_46,user_32,A,1,2023-11-04
log_47,user_33,A,1,2023-10-26
log_48,user_34,B,0,2023-10-26
log_49,user_35,B,0,2023-10-26
log_50,user_36,B,0,2023-10-26
log_51,user_36,B,1,2023-11-06
log_52,user_37,B,0,2023-10-26
log_53,user_38,B,0,2023-10-26
log_54,user_38,B,1,2023-10-30
log_55,user_39,B,0,2023-10-26
log_56,user_39,B,1,2023-10-28
log_57,user_40,Control,0,2023-10-26
log_58,user_41,Control,0,2023-10-26
log_59,user_41,Control,1,2023-10-27
log_60,user_42,Control,0,2023-10-26
log_61,user_43,Control,0,2023-10-26
log_62,user_43,Control,1,2023-10-29
log_63,user_44,B,0,2023-10-26
log_64,user_45,Control,0,2023-10-26
log_65,user_46,Control,0,2023-10-26
log_66,user_46,Control,1,2023-11-06
log_67,user_47,A,0,2023-10-26
log_68,user_47,A,1,2023-11-19
log_69,user_48,Control,0,2023-10-26
log_70,user_49,A,0,2023-10-26
log_71,user_50,Control,0,2023-10-26
log_72,user_51,A,0,2023-10-26
log_73,user_52,A,0,2023-10-26
log_74,user_53,A,0,2023-10-26
log_75,user_54,A,0,2023-10-26
log_76,user_54,A,1,2023-11-08
log_77,user_55,B,0,2023-10-26
log_78,user_55,B,1,2023-11-05
log_79,user_56,B,1,2023-10-26
log_80,user_56,B,1,2023-10-28
log_81,user_57,A,1,2023-10-26
log_82,user_58,B,0,2023-10-26
log_83,user_59,Control,0,2023-10-26
log_84,user_60,A,0,2023-10-26
log_85,user_60,A,1,2023-11-04
log_86,user_61,A,0,2023-10-26
log_87,user_62,Control,0,2023-10-26
log_88,user_63,Control,0,2023-10-26
log_89,user_63,Control,1,2023-10-28
log_90,user_64,A,0,2023-10-26
log_91,user_64,A,1,2023-11-21
log_92,user_65,Control,0,2023-10-26
log_93,user_66,A,0,2023-10-26
log_94,user_67,A,0,2023-10-26
log_95,user_68,Control,0,2023-10-26
log_96,user_69,Control,0,2023-10-26
log_97,user_69,Control,1,2023-11-19
log_98,user_70,B,0,2023-10-26
log_99,user_71,B,0,2023-10-26
log_100,user_71,B,1,2023-11-07
log_101,user_72,A,1,2023-10-26
log_102,user_72,A,1,2023-11-06
log_103,user_73,B,0,2023-10-26
log_104,user_74,Control,0,2023-10-26
log_105,user_74,Control,1,2023-11-22
log_106,user_75,Control,0,2023-10-26
log_107,user_76,A,0,2023-10-26
log_108,user_76,A,1,2023-11-05
log_109,user_77,Control,0,2023-10-26
log_110,user_78,Control,0,2023-10-26
log_111,user_79,A,1,2023-10-26
log_112,user_80,A,0,2023-10-26
log_113,user_81,A,0,2023-10-26
log_114,user_82,A,0,2023-10-26
log_115,user_82,A,1,2023-11-22
log_116,user_83,A,0,2023-10-26
log_117,user_83,A,1,2023-11-02
log_118,user_84,A,0,2023-10-26
log_119,user_85,A,0,2023-10-26
log_120,user_86,Control,0,2023-10-26
log_121,user_87,B,1,2023-10-26
log_122,user_87,B,1,2023-10-30
log_123,user_88,A,0,2023-10-26
log_124,user_89,A,0,2023-10-26
log_125,user_90,A,0,2023-10-26
log_126,user_90,A,1,2023-11-04
log_127,user_91,B,1,2023-10-26
log_128,user_91,B,1,2023-11-09
log_129,user_92,B,0,2023-10-26
log_130,user_93,B,0,2023-10-26
log_131,user_94,A,0,2023-10-26
log_132,user_95,Control,0,2023-10-26
log_133,user_96,Control,0,2023-10-26
log_134,user_97,Control,0,2023-10-26
log_135,user_98,B,0,2023-10-26
log_136,user_98,B,1,2023-11-02
log_137,user_98,B,1,2023-11-09
log_138,user_98,B,1,2023-11-19
log_139,user_99,B,1,2023-10-26
log_140,user_100,A,0,2023-10-26
log_141,user_100,A,1,2023-11-07
log_142,user_100,A,1,2023-11-18
log_143,user_101,Control,0,2023-10-26
log_144,user_102,Control,0,2023-10-26
log_145,user_103,A,0,2023-10-26
log_146,user_103,A,1,2023-11-07
log_147,user_103,A,1,2023-11-22
log_148,user_104,A,0,2023-10-26
log_149,user_104,A,1,2023-10-31
log_150,user_105,B,0,2023-10-26
log_151,user_106,B,0,2023-10-26
log_152,user_107,B,1,2023-10-26
log_153,user_107,B,1,2023-11-08
log_154,user_108,A,0,2023-10-26
log_155,user_109,B,1,2023-10-26
log_156,user_110,A,0,2023-10-26
log_157,user_111,Control,0,2023-10-26
log_158,user_112,A,0,2023-10-26
log_159,user_113,A,0,2023-10-26
log_160,user_113,A,1,2023-10-28
log_161,user_114,Control,0,2023-10-26
log_162,user_114,Control,1,2023-11-02
log_163,user_115,B,0,2023-10-26
log_164,user_115,B,1,2023-11-18
log_165,user_116,B,0,2023-10-26
log_166,user_117,B,0,2023-10-26
log_167,user_118,A,0,2023-10-26
log_168,user_119,A,0,2023-10-26
log_169,user_120,Control,0,2023-10-26
log_170,user_121,B,0,2023-10-26
log_171,user_121,B,1,2023-11-04
log_172,user_122,B,0,2023-10-26
log_173,user_122,B,1,2023-11-05
log_174,user_123,B,0,2023-10-26
log_175,user_124,Control,0,2023-10-26
log_176,user_125,A,0,2023-10-26
log_177,user_125,A,1,2023-10-28
log_178,user_126,B,0,2023-10-26
log_179,user_127,Control,0,2023-10-26
log_180,user_128,Control,0,2023-10-26
log_181,user_128,Control,1,2023-11-20
log_182,user_129,Control,0,2023-10-26
log_183,user_130,Control,0,2023-10-26
log_184,user_131,A,0,2023-10-26
log_185,user_132,B,0,2023-10-26
log_186,user_132,B,1,2023-11-04
log_187,user_133,B,0,2023-10-26
log_188,user_134,Control,0,2023-10-26
log_189,user_135,Control,0,2023-10-26
log_190,user_136,A,0,2023-10-26
log_191,user_137,B,0,2023-10-26
log_192,user_138,A,0,2023-10-26
log_193,user_138,A,1,2023-11-04
log_194,user_139,B,0,2023-10-26
log_195,user_139,B,1,2023-10-27
log_196,user_139,B,1,2023-11-04
log_197,user_140,A,0,2023-10-26
log_198,user_140,A,1,2023-10-31
log_199,user_140,A,1,2023-11-19
log_200,user_141,A,0,2023-10-26
log_201,user_142,A,0,2023-10-26
log_202,user_143,A,0,2023-10-26
log_203,user_144,B,0,2023-10-26
log_204,user_145,A,0,2023-10-26
log_205,user_146,B,0,2023-10-26
log_206,user_146,B,1,2023-11-02
log_207,user_147,A,0,2023-10-26
log_208,user_148,A,0,2023-10-26
log_209,user_149,Control,0,2023-10-26
log_210,user_150,Control,0,2023-10-26
log_211,user_151,B,1,2023-10-26
log_212,user_151,B,1,2023-11-04
log_213,user_151,B,1,2023-11-19
log_214,user_152,A,0,2023-10-26
log_215,user_152,A,1,2023-11-01
log_216,user_152,A,1,2023-11-08
log_217,user_153,B,0,2023-10-26
log_218,user_154,B,1,2023-10-26
log_219,user_154,B,1,2023-10-27
log_220,user_155,Control,0,2023-10-26
log_221,user_156,Control,0,2023-10-26
log_222,user_157,B,0,2023-10-26
log_223,user_158,B,1,2023-10-26
log_224,user_159,Control,0,2023-10-26
log_225,user_159,Control,1,2023-11-21
log_226,user_160,A,0,2023-10-26
log_227,user_161,A,0,2023-10-26
log_228,user_162,B,0,2023-10-26
log_229,user_163,A,0,2023-10-26
log_230,user_163,A,1,2023-11-21
log_231,user_164,A,0,2023-10-26
log_232,user_164,A,1,2023-11-09
log_233,user_165,Control,0,2023-10-26
log_234,user_166,B,0,2023-10-26
log_235,user_167,B,1,2023-10-26
log_236,user_168,B,0,2023-10-26
log_237,user_169,B,0,2023-10-26
log_238,user_170,B,0,2023-10-26
log_239,user_170,B,1,2023-10-27
log_240,user_170,B,1,2023-11-17
log_241,user_171,A,0,2023-10-26
log_242,user_172,A,0,2023-10-26
log_243,user_173,Control,0,2023-10-26
log_244,user_174,Control,0,2023-10-26
log_245,user_175,Control,0,2023-10-26
log_246,user_176,Control,0,2023-10-26
log_247,user_177,A,0,2023-10-26
log_248,user_177,A,1,2023-10-31
log_249,user_177,A,1,2023-11-17
log_250,user_178,Control,0,2023-10-26
log_251,user_179,A,0,2023-10-26
log_252,user_179,A,1,2023-11-04
log_253,user_180,Control,0,2023-10-26
log_254,user_181,B,0,2023-10-26
log_255,user_182,A,0,2023-10-26
log_256,user_182,A,1,2023-11-03
log_257,user_183,Control,0,2023-10-26
log_258,user_184,B,0,2023-10-26
log_259,user_185,Control,0,2023-10-26
log_260,user_186,Control,0,2023-10-26
log_261,user_187,A,0,2023-10-26
log_262,user_188,B,1,2023-10-26
log_263,user_189,Control,0,2023-10-26
log_264,user_190,A,0,2023-10-26
log_265,user_190,A,1,2023-11-23
log_266,user_191,B,0,2023-10-26
log_267,user_192,A,0,2023-10-26
log_268,user_193,Control,0,2023-10-26
log_269,user_194,A,0,2023-10-26
log_270,user_195,Control,0,2023-10-26
log_271,user_196,B,0,2023-10-26
log_272,user_196,B,1,2023-11-03
log_273,user_197,B,0,2023-10-26
log_274,user_197,B,1,2023-10-27
log_275,user_198,Control,0,2023-10-26
log_276,user_199,A,0,2023-10-26
log_277,user_200,B,0,2023-10-26
log_278,user_201,B,1,2023-10-26
log_279,user_201,B,1,2023-11-02
log_280,user_201,B,1,2023-11-03
log_281,user_202,A,0,2023-10-26
log_282,user_203,Control,0,2023-10-26
log_283,user_204,Control,0,2023-10-26
log_284,user_205,B,0,2023-10-26
log_285,user_206,A,1,2023-10-26
log_286,user_206,A,1,2023-11-21
log_287,user_207,Control,0,2023-10-26
log_288,user_208,Control,0,2023-10-26
log_289,user_209,A,0,2023-10-26
log_290,user_209,A,1,2023-10-29
log_291,user_209,A,1,2023-11-17
log_292,user_210,Control,0,2023-10-26
log_293,user_211,B,0,2023-10-26
log_294,user_211,B,1,2023-11-03
log_295,user_212,B,0,2023-10-26
log_296,user_213,B,0,2023-10-26
log_297,user_213,B,1,2023-11-20
log_298,user_214,A,0,2023-10-26
log_299,user_215,Control,0,2023-10-26
log_300,user_216,Control,0,2023-10-26
log_301,user_217,Control,0,2023-10-26
log_302,user_218,Control,0,2023-10-26
log_303,user_219,Control,0,2023-10-26
log_304,user_220,Control,0,2023-10-26
log_305,user_221,Control,0,2023-10-26
log_306,user_221,Control,1,2023-10-30
log_307,user_222,B,0,2023-10-26
log_308,user_222,B,1,2023-10-30
log_309,user_222,B,1,2023-11-08
log_310,user_223,Control,0,2023-10-26
log_311,user_223,Control,1,2023-11-06
log_312,user_224,B,0,2023-10-26
log_313,user_224,B,1,2023-11-05
log_314,user_224,B,1,2023-11-23
log_315,user_225,A,0,2023-10-26
log_316,user_226,Control,0,2023-10-26
log_317,user_227,Control,0,2023-10-26
log_318,user_228,B,0,2023-10-26
log_319,user_228,B,1,2023-11-19
log_320,user_229,B,0,2023-10-26
log_321,user_229,B,1,2023-10-31
log_322,user_230,Control,0,2023-10-26
log_323,user_230,Control,1,2023-10-29
log_324,user_231,A,0,2023-10-26
log_325,user_231,A,1,2023-11-21
log_326,user_232,A,0,2023-10-26
log_327,user_233,Control,0,2023-10-26
log_328,user_233,Control,1,2023-10-31
log_329,user_234,Control,0,2023-10-26
log_330,user_235,B,0,2023-10-26
log_331,user_236,B,0,2023-10-26
log_332,user_237,B,0,2023-10-26
log_333,user_238,A,1,2023-10-26
log_334,user_239,A,0,2023-10-26
log_335,user_240,B,0,2023-10-26
log_336,user_241,Control,0,2023-10-26
log_337,user_242,B,0,2023-10-26
log_338,user_243,B,1,2023-10-26
log_339,user_243,B,1,2023-10-31
log_340,user_244,B,0,2023-10-26
log_341,user_244,B,1,2023-10-27
log_342,user_244,B,1,2023-11-05
log_343,user_245,B,0,2023-10-26
log_344,user_245,B,1,2023-10-27
log_345,user_246,Control,0,2023-10-26
log_346,user_247,Control,0,2023-10-26
log_347,user_248,A,0,2023-10-26
log_348,user_249,A,0,2023-10-26
log_349,user_249,A,1,2023-11-06
log_350,user_250,A,0,2023-10-26
log_351,user_251,A,0,2023-10-26
log_352,user_252,A,0,2023-10-26
log_353,user_253,A,1,2023-10-26
log_354,user_254,Control,0,2023-10-26
log_355,user_255,B,0,2023-10-26
log_356,user_256,Control,0,2023-10-26
log_357,user_257,B,0,2023-10-26
log_358,user_258,B,0,2023-10-26
log_359,user_258,B,1,2023-10-28
log_360,user_259,A,1,2023-10-26
log_361,user_260,A,0,2023-10-26
log_362,user_260,A,1,2023-11-02
log_363,user_261,B,1,2023-10-26
log_364,user_261,B,1,2023-11-21
log_365,user_262,B,0,2023-10-26
log_366,user_262,B,1,2023-11-01
log_367,user_263,A,0,2023-10-26
log_368,user_264,A,0,2023-10-26
log_369,user_265,A,0,2023-10-26
log_370,user_266,B,0,2023-10-26
log_371,user_266,B,1,2023-11-22
log_372,user_267,B,0,2023-10-26
log_373,user_267,B,1,2023-10-28
log_374,user_268,Control,0,2023-10-26
log_375,user_269,Control,0,2023-10-26
log_376,user_270,A,0,2023-10-26
log_377,user_271,Control,0,2023-10-26
log_378,user_272,A,0,2023-10-26
log_379,user_273,B,0,2023-10-26
log_380,user_274,A,0,2023-10-26
log_381,user_275,B,0,2023-10-26
log_382,user_276,Control,0,2023-10-26
log_383,user_277,B,0,2023-10-26
log_384,user_278,B,1,2023-10-26
log_385,user_278,B,1,2023-10-30
log_386,user_278,B,1,2023-11-22
log_387,user_279,Control,0,2023-10-26
log_388,user_280,A,0,2023-10-26
log_389,user_280,A,1,2023-11-06
log_390,user_281,Control,0,2023-10-26
log_391,user_282,B,1,2023-10-26
log_392,user_282,B,1,2023-11-01
log_393,user_282,B,1,2023-11-08
log_394,user_283,A,0,2023-10-26
log_395,user_284,A,0,2023-10-26
log_396,user_284,A,1,2023-11-07
log_397,user_285,A,0,2023-10-26
log_398,user_286,Control,0,2023-10-26
log_399,user_287,B,0,2023-10-26
log_400,user_288,A,0,2023-10-26
log_401,user_289,Control,0,2023-10-26
log_402,user_290,Control,0,2023-10-26
log_403,user_291,B,0,2023-10-26
log_404,user_291,B,1,2023-11-09
log_405,user_292,A,0,2023-10-26
log_406,user_292,A,1,2023-11-01
log_407,user_293,Control,0,2023-10-26
log_408,user_294,Control,0,2023-10-26
log_409,user_295,Control,0,2023-10-26
log_410,user_296,B,0,2023-10-26
log_411,user_296,B,1,2023-11-05
log_412,user_297,B,0,2023-10-26
log_413,user_297,B,1,2023-11-17
log_414,user_298,B,0,2023-10-26
log_415,user_298,B,1,2023-10-27
log_416,user_299,B,0,2023-10-26
log_417,user_299,B,1,2023-11-09
log_418,user_300,Control,0,2023-10-26
log_419,user_300,Control,1,2023-11-01
log_420,user_301,A,0,2023-10-26
log_421,user_302,B,0,2023-10-26
log_422,user_302,B,1,2023-11-08
log_423,user_303,B,0,2023-10-26
log_424,user_303,B,1,2023-11-21
log_425,user_304,A,0,2023-10-26
log_426,user_305,B,0,2023-10-26
log_427,user_306,Control,0,2023-10-26
log_428,user_307,B,0,2023-10-26
log_429,user_308,A,0,2023-10-26
log_430,user_309,B,1,2023-10-26
log_431,user_309,B,1,2023-10-29
log_432,user_309,B,1,2023-11-18
log_433,user_310,A,0,2023-10-26
log_434,user_311,A,0,2023-10-26
log_435,user_312,B,0,2023-10-26
log_436,user_313,B,0,2023-10-26
log_437,user_314,A,0,2023-10-26
log_438,user_315,A,0,2023-10-26
log_439,user_316,B,0,2023-10-26
log_440,user_316,B,1,2023-11-07
log_441,user_316,B,1,2023-11-22
log_442,user_317,Control,0,2023-10-26
log_443,user_318,Control,0,2023-10-26
log_444,user_319,Control,0,2023-10-26
log_445,user_320,B,1,2023-10-26
log_446,user_320,B,1,2023-11-20
log_447,user_321,B,0,2023-10-26
log_448,user_321,B,1,2023-10-27
log_449,user_322,Control,0,2023-10-26
log_450,user_323,A,0,2023-10-26
log_451,user_323,A,1,2023-11-23
log_452,user_324,B,0,2023-10-26
log_453,user_324,B,1,2023-11-08
