job_id,category_id,region_id,hourly_rate,posted_at
job_1,재고관리,5,12318,2023-09-13
job_2,물류,6,12812,2023-05-20
job_3,편의점,7,11386,2023-05-06
job_4,주방보조,9,20029,2023-08-17
job_5,카페,1,9632,2023-08-28
job_6,배달,7,11146,2023-06-10
job_7,개발보조,7,16119,2023-10-06
job_8,학원,7,21247,2023-06-02
job_9,물류,8,19613,2023-09-25
job_10,학원,10,20782,2023-09-02
job_11,물류,2,13087,2023-08-19
job_12,판매,5,14371,2023-10-05
job_13,베이커리,1,19585,2023-06-16
job_14,카페,10,10364,2023-05-10
job_15,판매,10,13997,2023-05-25
job_16,베이커리,5,23511,2023-09-17
job_17,편의점,5,23439,2023-06-22
job_18,강사보조,6,17624,2023-10-07
job_19,배달,10,23658,2023-07-10
job_20,행정,8,14084,2023-09-09
job_21,편의점,4,12821,2023-08-18
job_22,자료입력,9,11843,2023-08-13
job_23,자료입력,7,21178,2023-09-28
job_24,자료입력,1,15057,2023-10-08
job_25,자료입력,3,21535,2023-06-20
job_26,사무보조,2,17235,2023-05-20
job_27,판매,3,14321,2023-10-09
job_28,카페,10,24866,2023-10-20
job_29,판매,5,19767,2023-10-13
job_30,판매,4,24681,2023-06-25
job_31,판매,6,18984,2023-07-27
job_32,편의점,5,17467,2023-08-18
job_33,행정,7,13253,2023-09-24
job_34,재고관리,4,22802,2023-05-04
job_35,베이커리,4,9638,2023-08-17
job_36,학원,7,24639,2023-08-17
job_37,자료입력,8,14946,2023-05-11
job_38,자료입력,7,18117,2023-08-31
job_39,바리스타,9,24223,2023-09-28
job_40,베이커리,5,14934,2023-07-13
job_41,편의점,1,14292,2023-05-02
job_42,주방보조,7,10827,2023-09-27
job_43,문서작성,7,15643,2023-06-14
job_44,바리스타,10,24692,2023-05-17
job_45,식당,7,14471,2023-08-10
job_46,판매,2,11029,2023-08-24
job_47,강사보조,7,19154,2023-09-03
job_48,편의점,6,24193,2023-07-21
job_49,사무보조,5,23252,2023-09-24
job_50,개발보조,2,19288,2023-08-05
job_51,배달,5,19948,2023-10-04
job_52,테스트,7,11353,2023-10-19
job_53,카페,4,15195,2023-08-10
job_54,배달,5,10814,2023-08-10
job_55,주방보조,4,24511,2023-05-19
job_56,베이커리,4,22545,2023-10-17
job_57,행정,5,13631,2023-07-30
job_58,재고관리,3,12227,2023-07-01
job_59,배달,3,14847,2023-08-11
job_60,문서작성,8,21787,2023-05-03
job_61,베이커리,5,10359,2023-06-01
job_62,판매,1,21977,2023-08-21
job_63,카페,6,17948,2023-10-02
job_64,행정,8,10424,2023-09-04
job_65,카페,8,20889,2023-08-03
job_66,바리스타,3,15401,2023-05-08
job_67,사무보조,4,13855,2023-09-02
job_68,사무보조,9,12678,2023-05-28
job_69,바리스타,4,24379,2023-09-26
job_70,행정,6,21845,2023-06-23
job_71,물류,6,14747,2023-10-15
job_72,재고관리,1,13383,2023-09-04
job_73,개발보조,10,10130,2023-05-10
job_74,바리스타,4,16665,2023-05-02
job_75,판매,3,18028,2023-08-01
job_76,행정,7,19509,2023-05-02
job_77,주방보조,7,24070,2023-06-17
job_78,사무보조,3,20322,2023-08-03
job_79,문서작성,5,18600,2023-05-23
job_80,물류,6,19336,2023-05-14
job_81,학원,4,22404,2023-08-02
job_82,판매,8,22797,2023-09-26
job_83,식당,10,21994,2023-06-16
job_84,바리스타,5,13716,2023-09-22
job_85,사무보조,9,17861,2023-09-26
job_86,바리스타,1,13138,2023-08-23
job_87,문서작성,1,22435,2023-09-07
job_88,편의점,6,22585,2023-05-19
job_89,재고관리,8,20156,2023-06-13
job_90,강사보조,9,19241,2023-08-16
job_91,바리스타,1,22517,2023-07-02
job_92,식당,8,19747,2023-08-20
job_93,바리스타,4,23293,2023-08-24
job_94,재고관리,5,18046,2023-10-22
job_95,카페,3,9926,2023-05-07
job_96,편의점,10,22215,2023-09-09
job_97,재고관리,1,10105,2023-10-13
job_98,테스트,4,24405,2023-09-19
job_99,베이커리,5,13954,2023-07-31
job_100,식당,3,11126,2023-09-10
job_101,주방보조,9,19899,2023-06-28
job_102,자료입력,6,15573,2023-05-24
job_103,서빙,4,24673,2023-08-01
job_104,식당,6,24930,2023-09-25
job_105,행정,5,20857,2023-05-22
