st_id,user_id,category_id,settled_at,final_hourly_rate
st_1,user_1,카페,2023-01-31,8932
st_2,user_1,학원,2023-02-16,20890
st_3,user_1,판매,2023-03-05,13106
st_4,user_1,문서작성,2023-04-19,15684
st_5,user_2,문서작성,2023-04-11,19488
st_6,user_2,판매,2023-05-25,22113
st_7,user_2,편의점,2023-07-27,21600
st_8,user_3,카페,2023-10-18,15905
st_9,user_3,바리스타,2023-10-19,19154
st_10,user_3,재고관리,2023-11-17,15979
st_11,user_4,베이커리,2022-11-25,10441
st_12,user_4,문서작성,2023-01-19,10360
st_13,user_4,물류,2023-01-20,18060
st_14,user_4,자료입력,2023-04-10,21240
st_15,user_4,자료입력,2023-06-22,21430
st_16,user_4,자료입력,2023-11-17,22184
st_17,user_5,식당,2023-03-11,15045
st_18,user_5,편의점,2023-04-08,12923
st_19,user_5,학원,2023-05-01,21433
st_20,user_5,사무보조,2023-06-06,22418
st_21,user_5,물류,2023-07-08,12275
st_22,user_5,판매,2023-07-09,22522
st_23,user_6,주방보조,2022-12-21,9489
st_24,user_6,자료입력,2023-01-31,21509
st_25,user_6,서빙,2023-03-04,22689
st_26,user_6,재고관리,2023-04-06,22405
st_27,user_6,판매,2023-11-09,23282
st_28,user_7,배달,2023-06-19,9055
st_29,user_7,IT,2023-07-12,14983
st_30,user_7,베이커리,2023-08-19,9455
st_31,user_7,편의점,2023-09-07,21378
st_32,user_7,배달,2023-09-13,19579
st_33,user_7,IT,2023-10-03,11506
st_34,user_7,사무보조,2023-10-22,13387
st_35,user_7,편의점,2023-10-04,22871
st_36,user_8,카페,2022-12-18,20705
st_37,user_8,자료입력,2022-12-24,11510
st_38,user_8,식당,2022-12-25,18890
st_39,user_8,물류,2023-01-04,22793
st_40,user_8,IT,2023-10-30,11565
st_41,user_9,카페,2023-08-03,13660
st_42,user_9,판매,2023-08-19,14291
st_43,user_9,카페,2023-09-07,11888
st_44,user_9,베이커리,2023-09-17,20206
st_45,user_10,배달,2022-11-23,10662
st_46,user_10,행정,2023-01-05,21305
st_47,user_10,바리스타,2023-11-02,21092
st_48,user_10,문서작성,2023-11-19,20961
st_49,user_10,자료입력,2023-11-18,14877
st_50,user_11,행정,2023-01-25,23329
st_51,user_11,자료입력,2023-02-06,17066
st_52,user_11,학원,2023-02-16,22222
st_53,user_11,식당,2023-03-05,17048
st_54,user_11,학원,2023-03-21,21127
st_55,user_11,배달,2023-11-04,13411
st_56,user_12,바리스타,2023-03-01,13371
st_57,user_12,강사보조,2023-04-18,24299
st_58,user_13,카페,2023-09-15,14237
st_59,user_13,테스트,2023-10-13,14920
st_60,user_13,편의점,2023-10-19,11385
st_61,user_13,행정,2023-10-23,18953
st_62,user_14,배달,2023-06-19,10310
st_63,user_14,행정,2023-07-27,17120
st_64,user_14,베이커리,2023-09-06,10561
st_65,user_14,물류,2023-10-09,12436
st_66,user_14,편의점,2023-10-08,13726
st_67,user_15,판매,2023-02-14,12142
st_68,user_15,판매,2023-03-19,22477
st_69,user_15,주방보조,2023-04-13,15932
st_70,user_15,물류,2023-05-15,22902
st_71,user_15,식당,2023-06-12,22263
st_72,user_15,판매,2023-07-22,11803
st_73,user_16,편의점,2023-05-01,11156
st_74,user_16,재고관리,2023-05-24,17238
st_75,user_17,물류,2023-07-14,11453
st_76,user_17,바리스타,2023-08-14,17365
st_77,user_17,IT,2023-10-03,16777
st_78,user_17,강사보조,2023-10-10,14147
st_79,user_17,행정,2023-10-01,19947
st_80,user_17,학원,2023-10-23,15017
st_81,user_18,테스트,2023-03-12,23794
st_82,user_19,자료입력,2023-10-01,9054
st_83,user_19,개발보조,2023-09-26,19144
st_84,user_19,주방보조,2023-09-28,18975
st_85,user_20,IT,2023-09-10,16171
st_86,user_20,사무보조,2023-10-06,17625
st_87,user_20,강사보조,2023-10-13,21467
st_88,user_21,편의점,2023-10-08,12991
st_89,user_21,배달,2023-10-01,23894
st_90,user_21,문서작성,2023-10-11,12631
st_91,user_21,카페,2023-09-26,10123
st_92,user_21,식당,2023-10-13,10336
st_93,user_22,IT,2023-10-20,19260
st_94,user_22,강사보조,2023-10-18,19111
st_95,user_22,행정,2023-09-28,16511
st_96,user_22,사무보조,2023-10-17,9968
st_97,user_22,판매,2023-10-20,23638
st_98,user_23,물류,2023-06-29,23310
st_99,user_23,물류,2023-08-25,20958
st_100,user_23,식당,2023-10-03,20379
st_101,user_24,식당,2023-06-28,18583
st_102,user_24,배달,2023-08-04,14549
st_103,user_24,편의점,2023-09-20,23391
st_104,user_24,사무보조,2023-10-12,22697
st_105,user_24,물류,2023-10-07,12365
st_106,user_24,자료입력,2023-10-05,17056
st_107,user_24,판매,2023-10-30,18596
st_108,user_24,개발보조,2023-11-01,21023
st_109,user_25,개발보조,2023-04-01,16400
st_110,user_25,문서작성,2023-05-27,22111
st_111,user_26,사무보조,2023-06-20,22407
st_112,user_26,식당,2023-09-17,24484
st_113,user_26,판매,2023-10-19,17632
st_114,user_26,서빙,2023-10-24,14348
st_115,user_26,물류,2023-09-26,17074
st_116,user_26,편의점,2023-09-28,13265
st_117,user_26,자료입력,2023-11-01,16206
st_118,user_26,문서작성,2023-11-19,24326
st_119,user_27,행정,2023-05-21,19134
st_120,user_27,바리스타,2023-07-10,23802
st_121,user_27,판매,2023-07-18,19698
st_122,user_28,카페,2023-10-20,9515
st_123,user_28,학원,2023-10-13,15581
st_124,user_28,자료입력,2023-10-06,12861
st_125,user_28,카페,2023-10-10,19706
st_126,user_28,편의점,2023-10-19,14407
st_127,user_29,IT,2023-05-31,11719
st_128,user_29,문서작성,2023-07-30,18414
st_129,user_30,물류,2023-06-05,18613
st_130,user_30,카페,2023-07-11,14576
st_131,user_30,카페,2023-11-22,16306
st_132,user_30,IT,2023-10-29,21299
st_133,user_31,카페,2023-08-08,10786
st_134,user_31,행정,2023-09-02,23465
st_135,user_31,식당,2023-11-20,15557
st_136,user_32,강사보조,2023-06-05,13878
st_137,user_32,카페,2023-07-25,22699
st_138,user_32,배달,2023-11-09,16368
st_139,user_32,재고관리,2023-10-29,15584
st_140,user_33,행정,2023-08-22,20507
st_141,user_33,물류,2023-09-26,22970
st_142,user_33,베이커리,2023-10-08,14487
st_143,user_33,서빙,2023-09-27,10317
st_144,user_33,바리스타,2023-09-28,24061
st_145,user_33,문서작성,2023-10-21,11433
st_146,user_34,카페,2023-01-10,24611
st_147,user_34,식당,2023-11-22,18354
st_148,user_35,문서작성,2023-07-04,13759
st_149,user_35,편의점,2023-07-06,11900
st_150,user_35,행정,2023-07-16,16006
st_151,user_35,판매,2023-07-22,19327
st_152,user_35,배달,2023-07-27,13757
st_153,user_35,재고관리,2023-08-12,18245
st_154,user_35,식당,2023-08-19,24363
st_155,user_36,재고관리,2023-01-14,11060
st_156,user_37,바리스타,2023-04-13,23490
st_157,user_37,개발보조,2023-05-17,24157
st_158,user_38,자료입력,2023-07-12,10640
st_159,user_38,문서작성,2023-09-08,19519
st_160,user_38,재고관리,2023-10-04,22505
st_161,user_39,테스트,2023-05-10,19989
st_162,user_39,재고관리,2023-05-31,10485
st_163,user_39,자료입력,2023-07-19,20997
st_164,user_39,사무보조,2023-08-11,22520
st_165,user_39,행정,2023-08-24,17514
st_166,user_39,편의점,2023-09-21,22146
st_167,user_39,식당,2023-10-11,22315
st_168,user_39,자료입력,2023-09-28,18038
st_169,user_40,물류,2023-06-27,15595
st_170,user_40,행정,2023-10-18,22735
st_171,user_40,문서작성,2023-10-04,19054
st_172,user_40,문서작성,2023-10-24,14419
st_173,user_40,주방보조,2023-09-27,17303
st_174,user_40,식당,2023-11-22,21745
st_175,user_40,식당,2023-10-29,10111
st_176,user_40,문서작성,2023-11-23,19015
st_177,user_41,배달,2023-05-16,23479
st_178,user_41,편의점,2023-09-05,16946
st_179,user_41,편의점,2023-10-12,20977
st_180,user_41,강사보조,2023-09-26,14520
st_181,user_41,행정,2023-10-23,12767
st_182,user_42,카페,2023-06-10,16122
st_183,user_42,문서작성,2023-09-23,15862
st_184,user_42,학원,2023-10-04,24505
st_185,user_43,카페,2023-02-04,23363
st_186,user_43,바리스타,2023-03-22,16594
st_187,user_43,재고관리,2023-05-10,19568
st_188,user_43,재고관리,2023-05-11,13247
st_189,user_43,카페,2023-06-16,23334
st_190,user_44,식당,2023-05-18,18835
st_191,user_44,IT,2023-06-27,16976
st_192,user_44,물류,2023-08-08,12804
st_193,user_44,자료입력,2023-09-22,21017
st_194,user_44,개발보조,2023-10-04,16051
st_195,user_44,재고관리,2023-10-21,20187
st_196,user_44,강사보조,2023-10-21,14277
st_197,user_45,편의점,2023-10-08,18628
st_198,user_45,카페,2023-10-22,20299
st_199,user_45,배달,2023-09-26,19881
st_200,user_45,문서작성,2023-10-15,11847
st_201,user_45,행정,2023-10-18,20261
st_202,user_45,카페,2023-10-07,16034
st_203,user_45,개발보조,2023-10-30,16132
st_204,user_45,베이커리,2023-11-19,23125
st_205,user_46,물류,2023-01-02,18582
st_206,user_46,식당,2023-01-30,11614
st_207,user_46,개발보조,2023-02-06,18669
st_208,user_46,학원,2023-03-16,15762
st_209,user_46,물류,2023-04-17,19433
st_210,user_46,카페,2023-05-16,10645
st_211,user_47,테스트,2023-07-20,19540
st_212,user_47,문서작성,2023-10-04,16897
st_213,user_47,편의점,2023-10-16,17033
st_214,user_47,문서작성,2023-10-13,15331
st_215,user_47,바리스타,2023-10-14,19542
st_216,user_47,바리스타,2023-10-23,13111
st_217,user_48,강사보조,2023-01-27,17148
st_218,user_48,바리스타,2023-05-25,16854
st_219,user_48,문서작성,2023-07-12,13871
st_220,user_49,강사보조,2023-10-16,13874
st_221,user_49,재고관리,2023-10-17,12157
st_222,user_49,문서작성,2023-09-27,19394
st_223,user_49,테스트,2023-10-14,11291
st_224,user_49,행정,2023-10-13,18638
st_225,user_49,자료입력,2023-10-16,20792
st_226,user_50,재고관리,2023-10-09,22830
st_227,user_50,배달,2023-10-11,12843
st_228,user_50,카페,2023-10-13,17304
st_229,user_50,카페,2023-10-11,20191
st_230,user_50,IT,2023-11-22,14989
st_231,user_50,주방보조,2023-11-17,18518
st_232,user_50,판매,2023-11-23,23410
st_233,user_51,편의점,2023-10-25,21429
st_234,user_51,학원,2023-10-13,22607
st_235,user_51,배달,2023-09-28,9860
st_236,user_52,행정,2023-09-18,10101
st_237,user_52,베이커리,2023-09-27,22065
st_238,user_52,물류,2023-09-28,14620
st_239,user_52,IT,2023-10-16,21947
st_240,user_52,주방보조,2023-09-26,13997
st_241,user_52,행정,2023-10-22,23819
