user_id,region_id,push_on,total_settle_cnt
user_1,1,1,1
user_2,3,0,2
user_3,5,1,1
user_4,3,1,3
user_5,8,0,1
user_6,5,0,6
user_7,6,0,7
user_8,4,0,12
user_9,5,1,7
user_10,3,0,2
user_11,4,1,4
user_12,10,0,3
user_13,8,1,3
user_14,4,1,1
user_15,2,0,1
user_16,8,1,5
user_17,1,0,5
user_18,5,0,1
user_19,10,1,1
user_20,10,0,6
user_21,4,1,2
user_22,3,0,3
user_23,3,1,1
user_24,2,0,1
user_25,10,1,5
user_26,10,0,1
user_27,8,0,7
user_28,1,1,1
user_29,6,1,1
user_30,1,0,4
user_31,8,1,6
user_32,10,0,2
user_33,1,1,3
user_34,7,1,5
user_35,1,0,11
user_36,4,1,4
user_37,5,1,5
user_38,8,0,3
user_39,5,1,5
user_40,5,1,1
user_41,9,1,2
user_42,4,0,1
user_43,5,1,3
user_44,9,1,2
user_45,8,1,1
user_46,9,0,4
user_47,2,0,2
user_48,8,0,1
user_49,9,1,9
user_50,7,0,7
user_51,2,1,2
user_52,7,1,4
user_53,9,1,2
user_54,3,1,1
user_55,8,1,2
user_56,3,0,2
user_57,6,0,1
user_58,8,1,2
user_59,3,0,6
user_60,4,0,1
user_61,6,0,11
user_62,5,1,2
user_63,8,1,1
user_64,6,1,1
user_65,5,1,6
user_66,1,1,6
user_67,9,1,5
user_68,6,0,1
user_69,6,1,3
user_70,4,0,1
user_71,7,0,1
user_72,5,0,13
user_73,7,0,2
user_74,1,0,1
user_75,4,0,1
user_76,1,0,2
user_77,3,1,4
user_78,7,1,1
user_79,9,1,1
user_80,5,1,4
user_81,2,1,1
user_82,1,1,5
user_83,10,0,1
user_84,9,1,7
user_85,5,0,1
user_86,9,1,3
user_87,9,1,6
user_88,1,0,1
user_89,1,0,1
user_90,6,0,5
user_91,2,0,9
user_92,1,1,1
user_93,2,0,7
user_94,1,1,6
user_95,4,0,3
user_96,1,0,1
user_97,6,1,1
user_98,3,1,7
user_99,1,0,12
user_100,3,0,20
user_101,10,0,1
user_102,1,1,5
user_103,8,0,1
user_104,4,0,1
user_105,8,1,3
user_106,6,0,2
user_107,4,0,1
user_108,4,1,4
user_109,1,0,3
user_110,7,0,3
user_111,4,1,1
user_112,7,1,1
user_113,8,0,4
user_114,5,1,12
user_115,3,1,3
user_116,5,1,1
